locationName,streeeAddress,city,state,postalCode,phoneNumber,storeID,url
Millenia Mall,4175 Millenia Boulevard,Orlando,FL,32839,321-332-7001,,https://lamadeleine.com/locations/orlando-millenia-mall
West Little Rock,12210 W. Markham Drive,Rock,AR,72211,501-221-7777,,https://lamadeleine.com/locations/little-rock
Tysons Corner,7960 Tyson’s Corner Center,McLean,VA,22102,703-962-1264,,https://lamadeleine.com/locations/mclean-tysons-corner-center
Connecticut Ave. ,1130 Connecticut Ave. NW ,,DC,,202-780-9988,,https://lamadeleine.com/locations/washington-connecticut-ave
DFW,3200 E. Airfield Drive,Dallas,TX,75261,972-426-5210,,https://lamadeleine.com/locations/dfw
Dallas Love Field,8008 Cedar Springs Rd.,Dallas,TX,75235,214-358-7614,,https://lamadeleine.com/locations/dallas-love-field
Atlanta Airport Kiosk - Terminal C Gate 7,6000 N. Terminal Parkway,Atlanta,GA,30320,404-761-7222,,https://lamadeleine.com/locations/atlanta-airport-kiosk-terminal-c-gate-7
Phoenix Sky Harbor International Airport,3400 E. Sky Harbor Blvd.,Phoenix,AZ,85034,602-275-6582,,https://lamadeleine.com/locations/phoenix-sky-harbor-international-airport
Luhrs City Center,45 West Jefferson Street,Phoenix,AZ,85003,480-436-8152,,https://lamadeleine.com/locations/phoenix-luhrs-city-center
Alamo Heights,4820 Broadway,,TX,78209,210-829-7291,,https://lamadeleine.com/locations/san-antonio-alamo-heights
Alexandria,500 King Street,Alexandria,VA,22314,703-739-2854,,https://lamadeleine.com/locations/alexandria
Allen,810 W. McDermott Drive,Allen,TX,75013,972-338-4927,,https://lamadeleine.com/locations/allen
Arboretum,9828 Great Hills Trail,Austin,TX,78759,512-502-2474,,https://lamadeleine.com/locations/austin-arboretum
Berkshire,6109 Berkshire Ln,Dallas,Texas,75225,945-279-0912,,https://lamadeleine.com/locations/berkshire
Buford,1795 Mall of Georgia Boulevard,Buford,GA,30519,470-589-1528,,https://lamadeleine.com/locations/buford
Camp Bowie,6140 Camp Bowie,Worth,TX,76116,817-654-0471,,https://lamadeleine.com/locations/fort-worth-camp-bowie
Carillon,10001 Westheimer Road,Houston,TX,77042,713-266-7686,,https://lamadeleine.com/locations/houston-carillon
Carrollton,601 S. Carrollton Avenue,Orleans,LA,70118,504-861-8662,,https://lamadeleine.com/locations/new-orleans-carrollton
Champions,5505-A FM 1960,Houston,TX,77069,281-893-0723,,https://lamadeleine.com/locations/houston-champions
Clearlake,929 West Bay Area Boulevard,Webster,TX,77598,281-316-6135,,https://lamadeleine.com/locations/webster-clearlake
Coit & Campbell,1320 W. Campbell,Richardson,TX,75080,972-671-4887,,https://lamadeleine.com/locations/richardson-coit-campbell
Collin Creek,520 W. 15th Street,Plano,TX,75075,972-398-3003,,https://lamadeleine.com/locations/plano-collin-creek
Columbia,6211 Columbia Crossing,Columbia,MD,21045,410-872-4900,,https://lamadeleine.com/locations/columbia
