locationName,streeeAddress,city,state,postalCode,phoneNumber,storeID,url,averageRating,reviewCount,lowCount
Millenia Mall,4175 Millenia Boulevard,Orlando,FL,32839.0,321-332-7001,no match,https://lamadeleine.com/locations/orlando-millenia-mall,,,
West Little Rock,12210 W. Markham Drive,Rock,AR,72211.0,501-221-7777,no match,https://lamadeleine.com/locations/little-rock,,,
Tysons Corner,7960 Tyson’s Corner Center,McLean,VA,22102.0,703-962-1264,no match,https://lamadeleine.com/locations/mclean-tysons-corner-center,,,
Connecticut Ave. ,1130 Connecticut Ave. NW ,,DC,,202-780-9988,no match,https://lamadeleine.com/locations/washington-connecticut-ave,,,
DFW,3200 E. Airfield Drive,Dallas,TX,75261.0,972-426-5210,no match,https://lamadeleine.com/locations/dfw,,,
Dallas Love Field,8008 Cedar Springs Rd.,Dallas,TX,75235.0,214-358-7614,no match,https://lamadeleine.com/locations/dallas-love-field,,,
Atlanta Airport Kiosk - Terminal C Gate 7,6000 N. Terminal Parkway,Atlanta,GA,30320.0,404-761-7222,no match,https://lamadeleine.com/locations/atlanta-airport-kiosk-terminal-c-gate-7,,,
Phoenix Sky Harbor International Airport,3400 E. Sky Harbor Blvd.,Phoenix,AZ,85034.0,602-275-6582,no match,https://lamadeleine.com/locations/phoenix-sky-harbor-international-airport,,,
Luhrs City Center,45 West Jefferson Street,Phoenix,AZ,85003.0,480-436-8152,no match,https://lamadeleine.com/locations/phoenix-luhrs-city-center,,,
Alamo Heights,4820 Broadway,,TX,78209.0,210-829-7291,1460,https://lamadeleine.com/locations/san-antonio-alamo-heights,4.389792899408284,1352.0,51.0
Alexandria,500 King Street,Alexandria,VA,22314.0,703-739-2854,1668,https://lamadeleine.com/locations/alexandria,3.9092495636998255,1146.0,122.0
Allen,810 W. McDermott Drive,Allen,TX,75013.0,972-338-4927,1669,https://lamadeleine.com/locations/allen,4.060924369747899,952.0,92.0
Arboretum,9828 Great Hills Trail,Austin,TX,78759.0,512-502-2474,1670,https://lamadeleine.com/locations/austin-arboretum,4.2387543252595155,289.0,20.0
Berkshire,6109 Berkshire Ln,Dallas,Texas,75225.0,945-279-0912,6206,https://lamadeleine.com/locations/berkshire,3.0833333333333335,12.0,4.0
Buford,1795 Mall of Georgia Boulevard,Buford,GA,30519.0,470-589-1528,1675,https://lamadeleine.com/locations/buford,4.251621271076524,771.0,47.0
Camp Bowie,6140 Camp Bowie,Worth,TX,76116.0,817-654-0471,1676,https://lamadeleine.com/locations/fort-worth-camp-bowie,4.305764411027569,798.0,41.0
Carillon,10001 Westheimer Road,Houston,TX,77042.0,713-266-7686,1677,https://lamadeleine.com/locations/houston-carillon,4.34909377462569,1269.0,76.0
